,Variable 1,Variable 2,Correlation
1,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",1
2,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.495772145
3,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.5113901267
4,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.6351927208
5,"5. In a semester, how often have you worried too much about academic affairs? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.6431534526
6,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.580193985
7,"7. In a semester, how often have you felt afraid, as if something awful might happen?","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.598136723
8,Anxiety Value,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.8051242015
9,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.4918878053
10,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.5112987328
11,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.5544351485
12,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.5189873697
13,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.05220293725
14,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.1593159228
